Num_packet	Acc_X	Acc_Y	Acc_Z	Rot_X	Rot_Y	Rot_Z	Temp	Pre	    Alt	Temps_s	Temps_ms
[Id]        [m/s^2] [m/s^2] [m/s^2] [°/s]   [°/s]   [°/s]   [°C]    [Pa]    [m] [s]     [ms]
--------------------------------------------------------------------------------------------------------
486	-0.36	0.04	0.39	28.98	28.22	23.89	27.17	-1178	44330.00	104	856
487	-0.34	0.02	0.33	41.60	15.41	28.00	27.17	-1192	44330.00	105	56
488	-0.33	0.03	0.36	37.33	17.97	27.30	27.07	-1183	44330.00	105	256
489	-0.34	0.03	0.33	61.85	5.05	29.89	27.12	-1186	44330.00	105	456
490	-0.35	-0.01	0.28	44.04	14.47	26.23	27.21	-1183	44330.00	105	656
491	-0.32	0.02	0.33	44.89	11.66	28.19	27.12	-1178	44330.00	105	856
492	-0.34	0.02	0.36	38.34	17.30	26.57	27.17	-1183	44330.00	106	56
493	-0.37	0.03	0.37	41.63	19.37	26.02	27.07	-1178	44330.00	106	256
494	-0.34	0.02	0.35	40.11	18.31	28.43	27.17	-1169	44330.00	106	456
495	-0.37	0.03	0.32	37.67	16.78	28.52	27.21	-1169	44330.00	106	656
496	-0.34	0.02	0.30	40.47	17.03	27.91	27.21	-1169	44330.00	106	856
497	-0.36	0.04	0.38	38.55	22.67	29.65	27.17	-1166	44330.00	107	56
498	-0.39	-0.00	0.33	33.71	20.17	23.95	27.26	-1166	44330.00	107	256
499	-0.36	0.03	0.35	24.44	31.23	27.36	27.17	-1166	44330.00	107	456
500	-0.31	0.02	0.36	34.35	23.19	26.51	27.21	-1166	44330.00	107	656
501	-0.36	0.06	0.31	66.94	-9.41	27.06	27.21	-1169	44330.00	107	856
502	-0.38	0.02	0.41	40.69	21.91	21.51	27.21	-1158	44330.00	108	56
503	-0.36	0.03	0.40	-7.24	47.58	24.34	27.17	-1158	44330.00	108	256
504	-0.32	0.03	0.25	24.38	33.06	27.00	27.26	-1158	44330.00	108	456
505	-0.36	0.02	0.30	18.61	33.19	25.90	27.12	-1148	44330.00	108	656
506	-0.37	0.04	0.29	36.45	25.50	26.60	27.21	-1140	44330.00	108	856
507	-0.32	0.06	0.38	25.08	29.95	32.03	27.21	-1134	44330.00	109	56
509	-0.30	0.03	0.36	38.19	15.20	29.22	27.17	-1128	44330.00	109	456
510	-0.36	0.02	0.36	26.97	23.52	19.56	27.17	-1125	44330.00	109	656
511	-0.26	0.04	0.35	45.84	15.53	29.98	27.17	-1128	44330.00	109	856
512	-0.35	0.03	0.29	35.38	12.85	20.99	27.12	-1125	44330.00	110	56
513	-0.36	0.04	0.40	14.99	40.02	26.36	27.21	-1128	44330.00	110	256
514	-0.35	0.03	0.34	16.75	36.54	24.98	27.21	-1134	44330.00	110	456
515	-0.33	0.07	0.42	42.27	17.64	28.31	27.26	-1134	44330.00	110	656
516	-0.41	0.06	0.42	42.67	13.95	26.36	27.17	-1134	44330.00	110	856
517	-0.35	0.04	0.38	36.57	21.02	27.30	27.26	-1145	44330.00	111	56
518	-0.36	0.04	0.31	34.77	20.66	28.19	27.21	-1137	44330.00	111	256
519	-0.38	0.05	0.36	42.12	15.56	28.09	27.21	-1148	44330.00	111	456
520	-0.40	0.05	0.35	37.58	19.71	29.34	27.21	-1148	44330.00	111	656
521	-0.38	0.05	0.36	41.79	15.20	26.66	27.17	-1154	44330.00	111	856
522	-0.35	0.05	0.39	39.80	14.80	26.20	27.17	-1154	44330.00	112	56
523	-0.35	0.04	0.40	30.23	27.55	27.82	27.31	-1148	44330.00	112	256
524	-0.38	0.04	0.34	30.78	26.17	30.02	27.12	-1145	44330.00	112	456
525	-0.37	0.04	0.33	21.66	29.34	24.71	27.12	-1140	44330.00	112	656
526	-0.35	0.05	0.33	36.54	18.89	29.01	27.26	-1145	44330.00	112	856
527	-0.36	0.02	0.33	26.08	26.54	27.42	27.26	-1145	44330.00	113	56
528	-0.36	0.06	0.32	41.88	13.98	27.79	27.26	-1148	44330.00	113	256
529	-0.37	0.06	0.34	31.75	23.43	30.32	27.12	-1145	44330.00	113	456
530	-0.36	0.02	0.39	35.69	51.91	15.41	27.21	-1140	44330.00	113	656
531	-0.36	0.02	0.12	-1.17	39.56	20.11	27.21	-1140	44330.00	113	856
532	-0.08	0.23	0.52	6.75	8.58	3.61	27.17	-1148	44330.00	114	56
533	-0.19	0.48	0.67	-7.06	16.08	10.87	27.26	-1140	44330.00	114	256
534	-0.11	0.36	0.41	37.55	6.63	18.95	27.21	-1145	44330.00	114	456
535	-0.15	0.44	0.57	-3.73	47.79	-8.00	27.21	-1140	44330.00	114	656
536	-0.21	0.39	0.45	22.36	72.61	28.09	27.12	-1140	44330.00	114	856
537	-0.07	0.54	0.63	35.23	29.95	22.97	27.31	-1140	44330.00	115	56
538	-0.14	0.52	0.58	79.22	-15.02	32.09	27.17	-1140	44330.00	115	256
539	-0.13	0.46	0.56	34.10	18.92	20.87	27.17	-1140	44330.00	115	456
540	-0.19	0.46	0.65	29.32	18.80	21.75	27.17	-1134	44330.00	115	656
541	-0.16	0.46	0.65	33.74	24.83	29.28	27.21	-1140	44330.00	115	856
542	-0.12	0.48	0.63	44.68	10.05	27.00	27.21	-1134	44330.00	116	56
543	-0.14	0.48	0.69	16.85	35.63	23.64	27.21	-1134	44330.00	116	256
544	-0.18	0.50	0.68	36.88	19.98	26.23	27.26	-1134	44330.00	116	456
545	-0.08	0.50	0.70	29.47	21.39	25.20	27.26	-1134	44330.00	116	656
546	-0.18	0.47	0.72	30.11	10.69	16.75	27.31	-1128	44330.00	116	856
547	-0.22	0.50	0.62	50.54	7.06	24.92	27.31	-1128	44330.00	117	56
548	-0.20	0.44	0.67	28.74	27.45	24.83	27.21	-1128	44330.00	117	256
549	-0.18	0.48	0.66	34.59	21.97	34.59	27.26	-1125	44330.00	117	456
550	-0.21	0.47	0.65	45.69	9.34	27.91	27.26	-1119	44330.00	117	656
551	-0.23	0.46	0.60	36.48	24.19	31.33	27.35	-1119	44330.00	117	856
552	-0.23	0.44	0.62	33.86	17.91	27.64	27.31	-1119	44330.00	118	56
553	-0.21	0.45	0.55	37.15	23.19	27.15	27.21	-1119	44330.00	118	256
554	-0.24	0.44	0.55	46.82	17.27	27.52	27.21	-1125	44330.00	118	456
555	-0.23	0.44	0.63	29.99	22.24	27.42	27.17	-1125	44330.00	118	656
556	-0.19	0.44	0.61	45.41	13.61	29.47	27.17	-1125	44330.00	118	856
557	-0.25	0.44	0.60	32.70	23.09	27.55	27.26	-1125	44330.00	119	56
558	-0.25	0.45	0.60	49.25	8.67	27.27	27.31	-1125	44330.00	119	256
559	-0.21	0.43	0.61	37.15	22.52	30.53	27.21	-1125	44330.00	119	456
560	-0.24	0.45	0.64	40.69	11.81	22.58	27.31	-1125	44330.00	119	656
561	-0.25	0.44	0.62	32.46	24.37	28.83	27.26	-1125	44330.00	119	856
562	-0.23	0.44	0.62	37.49	20.81	25.81	27.35	-1119	44330.00	120	56
563	-0.27	0.45	0.60	43.04	13.40	25.99	27.21	-1119	44330.00	120	256
564	-0.26	0.46	0.65	33.19	23.67	28.49	27.21	-1128	44330.00	120	456
565	-0.24	0.45	0.62	47.67	14.19	29.59	27.31	-1128	44330.00	120	656
566	-0.24	0.43	0.63	39.89	19.89	30.29	27.26	-1119	44330.00	120	856
567	-0.25	0.45	0.64	41.63	17.15	30.35	27.17	-1125	44330.00	121	56
568	-0.24	0.46	0.63	39.16	17.06	27.58	27.21	-1128	44330.00	121	256
569	-0.25	0.46	0.71	34.74	21.30	26.91	27.21	-1128	44330.00	121	456
570	-0.26	0.45	0.66	42.58	11.69	25.14	27.31	-1134	44330.00	121	656
571	-0.27	0.43	0.64	22.09	35.69	28.77	27.21	-1125	44330.00	121	856
572	-0.10	0.51	0.67	72.06	-3.70	34.28	27.26	-1119	44330.00	122	56
573	-0.18	0.24	0.56	43.49	42.67	11.48	27.26	-1134	44330.00	122	256
